"","LTLA19CD","CLU"
"96","E07000070","G4"
"97","E07000071","G2"
"98","E07000072","G4"
"99","E07000073","G3"
"100","E07000074","G4"
"101","E07000075","G3"
"102","E07000076","G4"
"103","E07000077","G1"
"104","E07000078","G2"
"105","E07000079","G3"
"106","E07000080","G3"
"107","E07000081","G3"
"108","E07000082","G3"
"109","E07000083","G2"
"110","E07000084","G3"
"111","E07000085","G1"
"112","E07000086","G3"
"113","E07000087","G3"
"114","E07000088","G3"
"115","E07000089","G1"
"116","E07000090","G3"
"117","E07000091","G4"
"118","E07000092","G4"
"119","E07000093","G4"
"120","E07000094","G4"
"121","E07000095","G4"
"122","E07000096","G4"
"123","E07000098","G4"
"124","E07000099","G4"
"125","E07000102","G4"
"126","E07000103","G4"
"127","E07000105","G3"
"128","E07000106","G2"
"129","E07000107","G4"
"130","E07000108","G1"
"131","E07000109","G4"
"132","E07000110","G3"
"133","E07000111","G4"
"134","E07000112","G4"
"135","E07000113","G1"
"136","E07000114","G4"
"137","E07000115","G4"
"138","E07000116","G1"
"139","E07000117","G2"
"140","E07000118","G3"
"141","E07000119","G4"
"142","E07000120","G3"
"143","E07000121","G2"
"144","E07000122","G2"
"145","E07000123","G2"
"146","E07000124","G3"
"147","E07000125","G1"
"148","E07000126","G3"
"149","E07000127","G3"
"150","E07000128","G4"
"151","E07000129","G2"
"152","E07000130","G3"
"153","E07000131","G4"
"154","E07000132","G3"
"155","E07000133","G3"
"156","E07000134","G3"
"157","E07000135","G3"
"158","E07000136","G3"
"159","E07000137","G3"
"160","E07000138","G2"
"161","E07000139","G3"
"162","E07000140","G4"
"163","E07000141","G3"
"164","E07000142","G4"
"165","E07000143","G1"
"166","E07000144","G3"
"167","E07000145","G3"
"168","E07000146","G4"
"169","E07000147","G1"
"170","E07000148","G2"
"171","E07000149","G3"
"172","E07000150","G2"
"173","E07000151","G3"
"174","E07000152","G3"
"175","E07000153","G4"
"176","E07000154","G2"
"177","E07000155","G3"
"178","E07000156","G3"
"179","E07000163","G3"
"180","E07000164","G3"
"181","E07000165","G4"
"182","E07000166","G2"
"183","E07000167","G2"
"184","E07000168","G2"
"185","E07000169","G1"
"186","E07000170","G3"
"187","E07000171","G4"
"188","E07000172","G2"
"189","E07000173","G3"
"190","E07000174","G2"
"191","E07000175","G4"
"192","E07000176","G3"
"193","E07000177","G4"
"194","E07000178","G2"
"195","E07000179","G4"
"196","E07000180","G4"
"197","E07000181","G4"
"198","E07000187","G4"
"199","E07000188","G3"
"200","E07000189","G3"
"201","E07000192","G3"
"202","E07000193","G3"
"203","E07000194","G4"
"204","E07000195","G2"
"205","E07000196","G3"
"206","E07000197","G3"
"207","E07000198","G3"
"208","E07000199","G3"
"209","E07000200","G3"
"210","E07000202","G2"
"211","E07000203","G1"
"212","E07000207","G4"
"213","E07000208","G3"
"214","E07000209","G3"
"215","E07000210","G1"
"216","E07000211","G4"
"217","E07000212","G4"
"218","E07000213","G4"
"219","E07000214","G4"
"220","E07000215","G1"
"221","E07000216","G4"
"222","E07000217","G4"
"223","E07000218","G2"
"224","E07000219","G3"
"225","E07000220","G4"
"226","E07000221","G1"
"227","E07000222","G4"
"228","E07000223","G3"
"229","E07000224","G4"
"230","E07000225","G3"
"231","E07000226","G4"
"232","E07000227","G1"
"233","E07000228","G1"
"234","E07000229","G2"
"235","E07000234","G4"
"236","E07000235","G4"
"237","E07000236","G3"
"238","E07000237","G3"
"239","E07000238","G4"
"240","E07000239","G3"
"241","E07000240","G4"
"242","E07000241","G4"
"243","E07000242","G4"
"244","E07000243","G3"
"245","E07000244","G3"
"246","E07000245","G3"
"247","E07000246","G3"
"248","E08000001","G2"
"249","E08000002","G2"
"250","E08000003","G4"
"251","E08000004","G3"
"252","E08000005","G2"
"253","E08000006","G3"
"254","E08000007","G3"
"255","E08000008","G3"
"256","E08000009","G3"
"257","E08000010","G2"
"258","E08000011","G3"
"259","E08000012","G3"
"260","E08000013","G2"
"261","E08000014","G3"
"262","E08000015","G2"
"263","E08000016","G2"
"264","E08000017","G2"
"265","E08000018","G2"
"266","E08000019","G2"
"267","E08000021","G2"
"268","E08000022","G3"
"269","E08000023","G2"
"270","E08000024","G3"
"271","E08000025","G3"
"272","E08000026","G3"
"273","E08000027","G2"
"274","E08000028","G3"
"275","E08000029","G4"
"276","E08000030","G3"
"277","E08000031","G3"
"278","E08000032","G2"
"279","E08000033","G2"
"280","E08000034","G2"
"281","E08000035","G3"
"282","E08000036","G2"
"283","E08000037","G2"
"284","E09000001","G3"
"285","E09000002","G4"
"286","E09000003","G1"
"287","E09000004","G4"
"288","E09000005","G4"
"289","E09000006","G4"
"290","E09000007","G1"
"291","E09000008","G4"
"292","E09000009","G1"
"293","E09000010","G4"
"294","E09000011","G4"
"295","E09000012","G1"
"296","E09000013","G1"
"297","E09000014","G1"
"298","E09000015","G1"
"299","E09000016","G1"
"300","E09000017","G4"
"301","E09000018","G4"
"302","E09000019","G1"
"303","E09000020","G1"
"304","E09000021","G4"
"305","E09000022","G1"
"306","E09000023","G1"
"307","E09000024","G4"
"308","E09000025","G1"
"309","E09000026","G4"
"310","E09000027","G4"
"311","E09000028","G4"
"312","E09000029","G4"
"313","E09000030","G1"
"314","E09000031","G1"
"315","E09000032","G1"
"316","E09000033","G1"
